time,sentiment_score,Tweet Volume,Weighted Sentiment,Volume LINK,open LINK
10/9/2020 12:00,-0.009570379,11470,-109.7722471,442945.6,10.08476667
10/9/2020 15:00,-0.01358817,12604,-171.2652947,770683.65,10.32455333
10/9/2020 18:00,-0.045835675,10314,-472.749152,457090.77,10.30458333
10/9/2020 21:00,-0.060340097,8287,-500.0383838,327589.39,10.35451333
10/10/2020 0:00,-0.071101826,8668,-616.3106278,691613.21,10.51796
10/10/2020 3:00,-0.022319797,7209,-160.9034166,312773.17,10.73547333
10/10/2020 6:00,-0.057540347,7324,-421.4255014,186629.45,10.61798
10/10/2020 9:00,-0.056817115,7208,-409.5377649,275812.79,10.61141667
10/10/2020 12:00,-0.013713727,8947,-122.6967155,153060.46,10.60669333
10/10/2020 15:00,-0.016535947,9535,-157.6702546,308008.74,10.54276
10/10/2020 18:00,-0.051743708,9196,-475.8351388,243618.97,10.58721
10/10/2020 21:00,-0.082782955,7811,-646.6176615,310061.91,10.64834333
10/11/2020 0:00,-0.025927784,7197,-186.6022614,318034.21,10.43026
10/11/2020 3:00,-0.022748333,5666,-128.8920548,351343.67,10.30618667
10/11/2020 6:00,-0.014318527,6237,-89.3046529,90630.68,10.39093333
10/11/2020 9:00,-0.070036295,6680,-467.8424506,155581.65,10.55133667
10/11/2020 12:00,-0.017707554,8981,-159.0315425,195325.19,10.56261667
10/11/2020 15:00,-0.016736061,10202,-170.7412943,538982.39,10.66793667
10/11/2020 18:00,-0.067195785,8817,-592.4652363,353512.34,10.87019333
10/11/2020 21:00,-0.060603841,7552,-457.6802072,311635.71,10.74823667
10/12/2020 0:00,-0.054596955,6761,-369.1300128,153512.27,10.80198333
10/12/2020 3:00,-0.037751806,5733,-216.4311038,298693.23,10.82814333
10/12/2020 6:00,-0.025593632,7911,-202.4712228,704696.71,11.03119667
10/12/2020 9:00,0.010752372,8796,94.57786411,273601.65,11.08648333
10/12/2020 12:00,0.02443126,12134,296.4489088,458129.14,11.06165
10/12/2020 15:00,-0.003931143,13394,-52.65372934,786046.47,11.35639333
10/12/2020 18:00,-0.031192491,11031,-344.0843682,344560.53,11.5826
10/12/2020 21:00,-0.050657972,10023,-507.7448534,522056.25,11.61004333
10/13/2020 0:00,-0.00798341,7672,-61.24872152,277987.02,11.42185
10/13/2020 3:00,-0.018937656,7441,-140.9150983,163506.6,11.35259333
10/13/2020 6:00,-0.033260188,9697,-322.524043,111190.36,11.38286
10/13/2020 9:00,-0.044916953,8587,-385.7018754,114353.96,11.45860333
10/13/2020 12:00,0.014583919,12955,188.9346706,325874.01,11.30218
10/13/2020 15:00,0.011133613,15235,169.6205941,362082.81,11.1774
10/13/2020 18:00,0.053096095,12178,646.6042449,669918.24,10.83555333
10/13/2020 21:00,0.038476353,9959,383.1859995,217376.79,11.05989667
10/14/2020 0:00,0.025646703,8416,215.8426524,194748.73,11.13706333
10/14/2020 3:00,0.060977944,8072,492.213964,191842.48,11.18376667
10/14/2020 6:00,0.051840669,8323,431.4698881,125642.96,11.14993333
10/14/2020 9:00,0.077588505,9454,733.5217263,262698.34,11.05827667
10/14/2020 12:00,0.094663196,12638,1196.353471,471596.66,11.04626
10/14/2020 15:00,0.024127381,12692,306.2247197,432788.63,10.92500667
10/14/2020 18:00,0.077760406,11931,927.759404,253006.07,10.78499333
10/14/2020 21:00,-0.061666557,13794,-850.6284873,146361.5,10.83266667
10/15/2020 0:00,0.007932305,9091,72.11258476,149287.58,10.82089667
10/15/2020 3:00,-0.006448907,8696,-56.07969527,130728.51,10.69616667
10/15/2020 6:00,0.011359098,10451,118.7139332,109622.53,10.82564
10/15/2020 9:00,-0.019507257,11158,-217.6619736,257722.04,10.61293
10/15/2020 12:00,0.060359124,14988,904.6625505,230880.1,10.65199333
10/15/2020 15:00,0.032517217,13366,434.6251224,230541.75,10.66058
10/15/2020 18:00,0.003967145,11553,45.83242619,278477.47,10.77849
10/15/2020 21:00,0.013101098,3047,39.91904561,130898.99,10.76887667
10/16/2020 0:00,0.060898004,7201,438.5265268,127935.7,10.77356333
10/16/2020 3:00,-0.048165047,9291,-447.5014517,339198.83,10.66604333
